idx,file,strict_q,relaxed_q,hits,seconds,saved_hits,error
1,/home/mayue/bilstm/data/predict_sequence/Prodigal_result/ERR4283305_bin.33.faa,0,65,717,0.571,/home/mayue/model_c/results/prescreen_hits_N50_seed42/ERR4283305_bin.33.faa.diamond.tsv,
2,/home/mayue/bilstm/data/predict_sequence/Prodigal_result/CRR656999_bin.22.faa,1,112,1376,0.635,/home/mayue/model_c/results/prescreen_hits_N50_seed42/CRR656999_bin.22.faa.diamond.tsv,
3,/home/mayue/bilstm/data/predict_sequence/Prodigal_result/SRR14693218_bin.39.faa,0,65,814,0.602,/home/mayue/model_c/results/prescreen_hits_N50_seed42/SRR14693218_bin.39.faa.diamond.tsv,
4,/home/mayue/bilstm/data/predict_sequence/Prodigal_result/SRR14017481_bin.15.faa,2,62,741,0.555,/home/mayue/model_c/results/prescreen_hits_N50_seed42/SRR14017481_bin.15.faa.diamond.tsv,
5,/home/mayue/bilstm/data/predict_sequence/Prodigal_result/SRR14000827_bin.15.faa,0,100,1246,0.645,/home/mayue/model_c/results/prescreen_hits_N50_seed42/SRR14000827_bin.15.faa.diamond.tsv,
6,/home/mayue/bilstm/data/predict_sequence/Prodigal_result/ERR4283452_bin.59.faa,0,53,561,0.534,/home/mayue/model_c/results/prescreen_hits_N50_seed42/ERR4283452_bin.59.faa.diamond.tsv,
7,/home/mayue/bilstm/data/predict_sequence/Prodigal_result/ERR4283259_bin.7.faa,0,89,1071,0.706,/home/mayue/model_c/results/prescreen_hits_N50_seed42/ERR4283259_bin.7.faa.diamond.tsv,
8,/home/mayue/bilstm/data/predict_sequence/Prodigal_result/ERR4283166_bin.33.faa,0,41,437,0.539,/home/mayue/model_c/results/prescreen_hits_N50_seed42/ERR4283166_bin.33.faa.diamond.tsv,
9,/home/mayue/bilstm/data/predict_sequence/Prodigal_result/SRR23999438_bin.28.faa,0,82,880,0.554,/home/mayue/model_c/results/prescreen_hits_N50_seed42/SRR23999438_bin.28.faa.diamond.tsv,
10,/home/mayue/bilstm/data/predict_sequence/Prodigal_result/CRR658821_bin.15.faa,0,59,850,0.709,/home/mayue/model_c/results/prescreen_hits_N50_seed42/CRR658821_bin.15.faa.diamond.tsv,
11,/home/mayue/bilstm/data/predict_sequence/Prodigal_result/CRR657455_bin.25.faa,0,133,1605,0.630,/home/mayue/model_c/results/prescreen_hits_N50_seed42/CRR657455_bin.25.faa.diamond.tsv,
12,/home/mayue/bilstm/data/predict_sequence/Prodigal_result/ERR4283206_bin.38.faa,0,67,780,0.582,/home/mayue/model_c/results/prescreen_hits_N50_seed42/ERR4283206_bin.38.faa.diamond.tsv,
13,/home/mayue/bilstm/data/predict_sequence/Prodigal_result/SRR13727522_bin.10.faa,0,21,368,0.478,/home/mayue/model_c/results/prescreen_hits_N50_seed42/SRR13727522_bin.10.faa.diamond.tsv,
14,/home/mayue/bilstm/data/predict_sequence/Prodigal_result/SRR14001034_bin.5.faa,0,121,1476,0.687,/home/mayue/model_c/results/prescreen_hits_N50_seed42/SRR14001034_bin.5.faa.diamond.tsv,
15,/home/mayue/bilstm/data/predict_sequence/Prodigal_result/SRR8208349_bin.12.faa,0,135,1513,0.724,/home/mayue/model_c/results/prescreen_hits_N50_seed42/SRR8208349_bin.12.faa.diamond.tsv,
16,/home/mayue/bilstm/data/predict_sequence/Prodigal_result/CRR657437_bin.24.faa,0,52,587,0.497,/home/mayue/model_c/results/prescreen_hits_N50_seed42/CRR657437_bin.24.faa.diamond.tsv,
17,/home/mayue/bilstm/data/predict_sequence/Prodigal_result/SRR12137126_bin.5.faa,0,38,438,0.525,/home/mayue/model_c/results/prescreen_hits_N50_seed42/SRR12137126_bin.5.faa.diamond.tsv,
18,/home/mayue/bilstm/data/predict_sequence/Prodigal_result/SRR23999423_bin.11.faa,1,82,957,0.583,/home/mayue/model_c/results/prescreen_hits_N50_seed42/SRR23999423_bin.11.faa.diamond.tsv,
19,/home/mayue/bilstm/data/predict_sequence/Prodigal_result/SRR13776101_bin.18.faa,0,8,154,0.436,/home/mayue/model_c/results/prescreen_hits_N50_seed42/SRR13776101_bin.18.faa.diamond.tsv,
20,/home/mayue/bilstm/data/predict_sequence/Prodigal_result/SRR3131800_bin.2.faa,26,238,2195,0.811,/home/mayue/model_c/results/prescreen_hits_N50_seed42/SRR3131800_bin.2.faa.diamond.tsv,
21,/home/mayue/bilstm/data/predict_sequence/Prodigal_result/SRR15023585_bin.11.faa,0,52,629,0.565,/home/mayue/model_c/results/prescreen_hits_N50_seed42/SRR15023585_bin.11.faa.diamond.tsv,
22,/home/mayue/bilstm/data/predict_sequence/Prodigal_result/CRR057310_bin.6.faa,0,61,687,0.618,/home/mayue/model_c/results/prescreen_hits_N50_seed42/CRR057310_bin.6.faa.diamond.tsv,
23,/home/mayue/bilstm/data/predict_sequence/Prodigal_result/ERR4678687_bin.86.faa,0,67,690,0.535,/home/mayue/model_c/results/prescreen_hits_N50_seed42/ERR4678687_bin.86.faa.diamond.tsv,
24,/home/mayue/bilstm/data/predict_sequence/Prodigal_result/SRR24359754_bin.26.faa,0,49,518,0.507,/home/mayue/model_c/results/prescreen_hits_N50_seed42/SRR24359754_bin.26.faa.diamond.tsv,
25,/home/mayue/bilstm/data/predict_sequence/Prodigal_result/SRR17827862.bin_9.faa,2,133,1608,0.659,/home/mayue/model_c/results/prescreen_hits_N50_seed42/SRR17827862.bin_9.faa.diamond.tsv,
26,/home/mayue/bilstm/data/predict_sequence/Prodigal_result/SRR15023580_bin.56.faa,3,56,547,0.618,/home/mayue/model_c/results/prescreen_hits_N50_seed42/SRR15023580_bin.56.faa.diamond.tsv,
27,/home/mayue/bilstm/data/predict_sequence/Prodigal_result/ERR4678647_bin.1.faa,0,64,654,0.547,/home/mayue/model_c/results/prescreen_hits_N50_seed42/ERR4678647_bin.1.faa.diamond.tsv,
28,/home/mayue/bilstm/data/predict_sequence/Prodigal_result/SRR13594362_bin.8.faa,0,60,638,0.511,/home/mayue/model_c/results/prescreen_hits_N50_seed42/SRR13594362_bin.8.faa.diamond.tsv,
29,/home/mayue/bilstm/data/predict_sequence/Prodigal_result/SRR17827834.bin_15.faa,1,89,963,0.582,/home/mayue/model_c/results/prescreen_hits_N50_seed42/SRR17827834.bin_15.faa.diamond.tsv,
30,/home/mayue/bilstm/data/predict_sequence/Prodigal_result/ERR4283258_bin.27.faa,0,43,656,0.587,/home/mayue/model_c/results/prescreen_hits_N50_seed42/ERR4283258_bin.27.faa.diamond.tsv,
31,/home/mayue/bilstm/data/predict_sequence/Prodigal_result/ERR4283200_bin.54.faa,0,55,635,0.561,/home/mayue/model_c/results/prescreen_hits_N50_seed42/ERR4283200_bin.54.faa.diamond.tsv,
32,/home/mayue/bilstm/data/predict_sequence/Prodigal_result/SRR20677863_bin.8.faa,50,260,2427,0.880,/home/mayue/model_c/results/prescreen_hits_N50_seed42/SRR20677863_bin.8.faa.diamond.tsv,
33,/home/mayue/bilstm/data/predict_sequence/Prodigal_result/ERR4283224_bin.39.faa,4,73,739,0.561,/home/mayue/model_c/results/prescreen_hits_N50_seed42/ERR4283224_bin.39.faa.diamond.tsv,
34,/home/mayue/bilstm/data/predict_sequence/Prodigal_result/SRR18191154_bin.11.faa,0,62,760,0.527,/home/mayue/model_c/results/prescreen_hits_N50_seed42/SRR18191154_bin.11.faa.diamond.tsv,
35,/home/mayue/bilstm/data/predict_sequence/Prodigal_result/SRR17827893.bin_10.faa,0,60,652,0.560,/home/mayue/model_c/results/prescreen_hits_N50_seed42/SRR17827893.bin_10.faa.diamond.tsv,
36,/home/mayue/bilstm/data/predict_sequence/Prodigal_result/SRR14355394_bin.17.faa,0,90,1133,0.597,/home/mayue/model_c/results/prescreen_hits_N50_seed42/SRR14355394_bin.17.faa.diamond.tsv,
37,/home/mayue/bilstm/data/predict_sequence/Prodigal_result/ERR2027910_bin.14.faa,1,42,502,0.578,/home/mayue/model_c/results/prescreen_hits_N50_seed42/ERR2027910_bin.14.faa.diamond.tsv,
38,/home/mayue/bilstm/data/predict_sequence/Prodigal_result/SRR4408251_bin.5.faa,0,59,686,0.534,/home/mayue/model_c/results/prescreen_hits_N50_seed42/SRR4408251_bin.5.faa.diamond.tsv,
39,/home/mayue/bilstm/data/predict_sequence/Prodigal_result/ERR4283377_bin.16.faa,0,87,1017,0.583,/home/mayue/model_c/results/prescreen_hits_N50_seed42/ERR4283377_bin.16.faa.diamond.tsv,
40,/home/mayue/bilstm/data/predict_sequence/Prodigal_result/SRR20677850_bin.6.faa,0,65,757,0.596,/home/mayue/model_c/results/prescreen_hits_N50_seed42/SRR20677850_bin.6.faa.diamond.tsv,
41,/home/mayue/bilstm/data/predict_sequence/Prodigal_result/ERR4283118_bin.4.faa,0,68,728,0.566,/home/mayue/model_c/results/prescreen_hits_N50_seed42/ERR4283118_bin.4.faa.diamond.tsv,
42,/home/mayue/bilstm/data/predict_sequence/Prodigal_result/SRR16124206_bin.7.faa,59,198,1857,0.822,/home/mayue/model_c/results/prescreen_hits_N50_seed42/SRR16124206_bin.7.faa.diamond.tsv,
43,/home/mayue/bilstm/data/predict_sequence/Prodigal_result/SRR18191168_bin.9.faa,0,73,838,0.616,/home/mayue/model_c/results/prescreen_hits_N50_seed42/SRR18191168_bin.9.faa.diamond.tsv,
44,/home/mayue/bilstm/data/predict_sequence/Prodigal_result/ERR7671975_bin.14.faa,55,186,1667,0.803,/home/mayue/model_c/results/prescreen_hits_N50_seed42/ERR7671975_bin.14.faa.diamond.tsv,
45,/home/mayue/bilstm/data/predict_sequence/Prodigal_result/ERR3405992_bin.9.faa,1,86,973,0.654,/home/mayue/model_c/results/prescreen_hits_N50_seed42/ERR3405992_bin.9.faa.diamond.tsv,
46,/home/mayue/bilstm/data/predict_sequence/Prodigal_result/ERR3404634_bin.2.faa,11,116,1201,0.651,/home/mayue/model_c/results/prescreen_hits_N50_seed42/ERR3404634_bin.2.faa.diamond.tsv,
47,/home/mayue/bilstm/data/predict_sequence/Prodigal_result/SRR14000939_bin.11.faa,0,107,1280,0.705,/home/mayue/model_c/results/prescreen_hits_N50_seed42/SRR14000939_bin.11.faa.diamond.tsv,
48,/home/mayue/bilstm/data/predict_sequence/Prodigal_result/SRR16124171_bin.14.faa,0,63,772,0.601,/home/mayue/model_c/results/prescreen_hits_N50_seed42/SRR16124171_bin.14.faa.diamond.tsv,
49,/home/mayue/bilstm/data/predict_sequence/Prodigal_result/ERR4283125_bin.46.faa,0,20,195,0.437,/home/mayue/model_c/results/prescreen_hits_N50_seed42/ERR4283125_bin.46.faa.diamond.tsv,
50,/home/mayue/bilstm/data/predict_sequence/Prodigal_result/SRR14001038_bin.18.faa,0,117,1297,0.635,/home/mayue/model_c/results/prescreen_hits_N50_seed42/SRR14001038_bin.18.faa.diamond.tsv,
